"datasetID","forestRemnantID","decimalLatitude","decimalLongitude","forestRemnantAreaInHectares","matrixType","timeSinceIsolationInYears","firstYearSurvey"
"Develey2004CAU","Pd",-23.73793217,-47.07165262,175,"terrestrial",NA,2000
"Develey2004CAU","Pe",-23.71559935,-47.09423193,53,"terrestrial",NA,2000
"Develey2004CAU","Tk",-23.70259846,-47.08090024,99,"terrestrial",NA,2000
"Develey2004IBI","Bm",-23.58908859,-47.26866141,115,"terrestrial",NA,2000
"Develey2004IBI","Ga",-23.63557006,-47.29401446,136,"terrestrial",NA,2000
"Develey2004IBI","Ha",-23.61065705,-47.27319095,42,"terrestrial",NA,2000
"Develey2004IBI","He",-23.61060999,-47.31624088,491,"terrestrial",NA,2000
"Develey2004IBI","Jc",-23.62095355,-47.38198346,24,"terrestrial",NA,2000
"Develey2004IBI","Ln",-23.58239464,-47.24459561,102,"terrestrial",NA,2000
"Develey2004IBI","Rc",-23.601089,-47.334314,32,"terrestrial",NA,2000
